profile_link,language
https://www.whitecase.com/people/katarzyna-czapracka,Polish
https://www.whitecase.com/people/genevra-forwood,English
https://www.whitecase.com/people/genevra-forwood,French
https://www.whitecase.com/people/jeremie-jourdan,English
https://www.whitecase.com/people/jeremie-jourdan,French
https://www.whitecase.com/people/james-killick,English
https://www.whitecase.com/people/james-killick,French
https://www.whitecase.com/people/james-killick,Russian
https://www.whitecase.com/people/assimakis-komninos,English
https://www.whitecase.com/people/assimakis-komninos,French
https://www.whitecase.com/people/assimakis-komninos,German
https://www.whitecase.com/people/assimakis-komninos,Greek
https://www.whitecase.com/people/assimakis-komninos,Italian
https://www.whitecase.com/people/tilman-kuhn,German
https://www.whitecase.com/people/tilman-kuhn,English
https://www.whitecase.com/people/jacquelyn-maclennan,English
https://www.whitecase.com/people/jacquelyn-maclennan,French
https://www.whitecase.com/people/mark-powell,English
https://www.whitecase.com/people/mark-powell,French
https://www.whitecase.com/people/mark-powell,Portuguese
https://www.whitecase.com/people/strati-sakellariou-witt,English
https://www.whitecase.com/people/strati-sakellariou-witt,French
https://www.whitecase.com/people/strati-sakellariou-witt,Greek
https://www.whitecase.com/people/strati-sakellariou-witt,Spanish
https://www.whitecase.com/people/axel-schulz,English
https://www.whitecase.com/people/axel-schulz,French
https://www.whitecase.com/people/axel-schulz,German
https://www.whitecase.com/people/axel-schulz,Italian
https://www.whitecase.com/people/hadrien-servais,French
https://www.whitecase.com/people/hadrien-servais,Dutch
https://www.whitecase.com/people/hadrien-servais,English
https://www.whitecase.com/people/thomas-glauden,English
https://www.whitecase.com/people/thomas-glauden,French
https://www.whitecase.com/people/thomas-glauden,Dutch
https://www.whitecase.com/people/christophe-goossens,French
https://www.whitecase.com/people/christophe-goossens,English
https://www.whitecase.com/people/alexandra-rogers,English
https://www.whitecase.com/people/alexandra-rogers,French
https://www.whitecase.com/people/kai-struckmann,English
https://www.whitecase.com/people/kai-struckmann,French
https://www.whitecase.com/people/kai-struckmann,German
https://www.whitecase.com/people/kai-struckmann,Spanish
https://www.whitecase.com/people/olivier-vanhulst,English
https://www.whitecase.com/people/olivier-vanhulst,Dutch
https://www.whitecase.com/people/olivier-vanhulst,French
https://www.whitecase.com/people/christoph-arhold,German
https://www.whitecase.com/people/christoph-arhold,English
https://www.whitecase.com/people/christoph-arhold,French
https://www.whitecase.com/people/nicholas-forwood,English
https://www.whitecase.com/people/nicholas-forwood,French
https://www.whitecase.com/people/nicholas-forwood,German
https://www.whitecase.com/people/charles-julien,French
https://www.whitecase.com/people/charles-julien,English
https://www.whitecase.com/people/richard-king,English
https://www.whitecase.com/people/richard-king,French
https://www.whitecase.com/people/richard-king,Mandarin
https://www.whitecase.com/people/sara-nordin,English
https://www.whitecase.com/people/sara-nordin,Swedish
https://www.whitecase.com/people/willem-van-de-wiele,Dutch
https://www.whitecase.com/people/willem-van-de-wiele,French
https://www.whitecase.com/people/willem-van-de-wiele,English
https://www.whitecase.com/people/fanny-abouzeid,French
https://www.whitecase.com/people/fanny-abouzeid,English
https://www.whitecase.com/people/geraldine-amory,French
https://www.whitecase.com/people/geraldine-amory,English
https://www.whitecase.com/people/geraldine-amory,Dutch
https://www.whitecase.com/people/alissa-arms,German
https://www.whitecase.com/people/alissa-arms,English
https://www.whitecase.com/people/alissa-arms,French
https://www.whitecase.com/people/mario-barka,Greek
https://www.whitecase.com/people/mario-barka,English
https://www.whitecase.com/people/mario-barka,French
https://www.whitecase.com/people/mario-barka,Albanian
https://www.whitecase.com/people/sara-ben-othmen,Dutch
https://www.whitecase.com/people/sara-ben-othmen,French
https://www.whitecase.com/people/sara-ben-othmen,English
https://www.whitecase.com/people/sara-ben-othmen,Arabic
https://www.whitecase.com/people/sara-ben-othmen,German
https://www.whitecase.com/people/cornelius-borner,English
https://www.whitecase.com/people/cornelius-borner,German
https://www.whitecase.com/people/martina-castren,Finnish
https://www.whitecase.com/people/martina-castren,English
https://www.whitecase.com/people/elien-claeys,Dutch
https://www.whitecase.com/people/elien-claeys,English
https://www.whitecase.com/people/elien-claeys,French
https://www.whitecase.com/people/antoine-cleret,French
https://www.whitecase.com/people/antoine-cleret,English
https://www.whitecase.com/people/william-de-catelle,English
https://www.whitecase.com/people/william-de-catelle,Dutch
https://www.whitecase.com/people/william-de-catelle,French
https://www.whitecase.com/people/william-de-catelle,German
https://www.whitecase.com/people/edouard-de-walque,English
https://www.whitecase.com/people/edouard-de-walque,Dutch
