profile_link,education
https://www.whitecase.com/people/stephen-carlton,JD RMIT University
https://www.whitecase.com/people/stephen-carlton,Dip Ed Latrobe University
https://www.whitecase.com/people/stephen-carlton,BA Contemporary European Studies Latrobe University
https://www.whitecase.com/people/kevin-chen,LLB University of New South Wales
https://www.whitecase.com/people/kevin-chen,BComm University of New South Wales
https://www.whitecase.com/people/ashleigh-cole,LLB (Hons) / BA Monash University
https://www.whitecase.com/people/kristian-cywicki,Bachelor of Laws (Dist.) University of Western Australia
https://www.whitecase.com/people/kristian-cywicki,Bachelor of Science University of Western Australia
https://www.whitecase.com/people/isabela-deveza,LLB University of Adelaide
https://www.whitecase.com/people/isabela-deveza,Bachelor of Laws Pontificia Universidade Catolica de Sao Paulo
https://www.whitecase.com/people/emma-dobb,Master of Laws Juris Doctor Monash University
https://www.whitecase.com/people/emma-dobb,Bachelor of Science Legal and Dispute Studies RMIT University
https://www.whitecase.com/people/chenez-dyer-bray,BA University of Melbourne
https://www.whitecase.com/people/chenez-dyer-bray,JD University of Melbourne
https://www.whitecase.com/people/dion-english,Bachelor of Laws (Hons) Monash University
https://www.whitecase.com/people/dion-english,Bachelor of Commerce Monash University
https://www.whitecase.com/people/dion-english,Diploma Monash University
https://www.whitecase.com/people/alexis-fong,LLB (Hons) University of Melbourne
https://www.whitecase.com/people/alexis-fong,BCom (Major in Finance) University of Melbourne
https://www.whitecase.com/people/jennifer-galatas,LLM University of Melbourne
https://www.whitecase.com/people/jennifer-galatas,LLB (Hons) University of Melbourne
https://www.whitecase.com/people/jennifer-galatas,BComm (Hons) University of Melbourne
https://www.whitecase.com/people/ostiane-goh-livorness,PCLL The Chinese University of Hong Kong
https://www.whitecase.com/people/ostiane-goh-livorness,LLB (Hons) University of Nottingham
https://www.whitecase.com/people/kirsty-ha,Juris Doctor University of Melbourne
https://www.whitecase.com/people/kirsty-ha,Bachelor of Commerce University of Melbourne
https://www.whitecase.com/people/kirsty-ha,Graduate Diploma Legal Practice College of Law
https://www.whitecase.com/people/jessie-huynh,Juris Doctor University of Melbourne
https://www.whitecase.com/people/jessie-huynh,Bachelor of Commerce University of Melbourne
https://www.whitecase.com/people/danielle-ingham,LLB University of Birmingham
https://www.whitecase.com/people/danielle-ingham,Postgraduate Diploma in Legal Practice BPP Law School
https://www.whitecase.com/people/isabella-jarrett,BA Geography Oxford University
https://www.whitecase.com/people/isabella-jarrett,Graduate Diploma in Law College of Law
https://www.whitecase.com/people/ruveena-kaliannan,Juris Doctor University of Melbourne
https://www.whitecase.com/people/ruveena-kaliannan,Bachelor of Arts University of Western Australia
https://www.whitecase.com/people/mai-kuroda,LLB (Hons) University of Melbourne
https://www.whitecase.com/people/mai-kuroda,BA University of Melbourne
https://www.whitecase.com/people/paul-marshall,LLB La Trobe University
https://www.whitecase.com/people/paul-marshall,Masters of International Studies University of Sydney
https://www.whitecase.com/people/paul-marshall,BEng (Aerospace) / BBus Admin RMIT University
https://www.whitecase.com/people/andrew-mason,LLB (Hons) Murdoch University
https://www.whitecase.com/people/barnaby-matthews,LLB (Hons) Monash University
https://www.whitecase.com/people/naomi-midha,Bachelor of Commerce (Economics)/LLB Griffith University
https://www.whitecase.com/people/kian-newlyn,LLB Australian National University
https://www.whitecase.com/people/sarah-oh,Bachelor of Laws University of Sydney
https://www.whitecase.com/people/sarah-oh,Bachelor of Science University of Sydney
https://www.whitecase.com/people/daniel-oneil,BIGS (Hons) University of Sydney
https://www.whitecase.com/people/daniel-oneil,MPhil University of Oxford
https://www.whitecase.com/people/daniel-oneil,JD University of Melbourne
https://www.whitecase.com/people/marco-paoletti,MA University of Oxford
https://www.whitecase.com/people/marco-paoletti,MPhil University of Cambridge
https://www.whitecase.com/people/marco-paoletti,LLM (JD) Monash University
